iteration_num	sequential_player	serpentine_player	choice	sum	sd	spot	true_rank	rank	sum_rank	sd_rank	num_players
8	Player4	Player4	Pick #4	10.7	1.15	s5	17	6	5	11	Four players
8	Player1	Player4	Pick #5	10.52	0.58	s10	23.5	8	6	2	Four players
8	Player2	Player3	Pick #6	10.1	0.8	s21	27.5	9	9	6	Four players
8	Player3	Player2	Pick #7	10.1	1.03	s1	28	10	10	9	Four players
8	Player4	Player1	Pick #8	8.72	1.21	s17	38.5	17	16	12	Four players
8	Player1	Player1	Pick #1	11.92	1.77	s4	5.5	1	1	18	Four players
8	Player2	Player2	Pick #2	11.43	1.05	s10	16	3	3	5	Four players
8	Player3	Player3	Pick #3	10.74	1.1	s8	16.5	4	4	8	Four players
8	Player4	Player4	Pick #4	10.27	1.09	s15	19	5	5	7	Four players
8	Player1	Player4	Pick #5	10.17	1.43	s23	21	6	7	11	Four players
8	Player2	Player3	Pick #6	9.83	1.56	s21	22	8	8	13	Four players
8	Player3	Player2	Pick #7	7.59	2.36	s17	42.5	18	21	24	Four players
8	Player4	Player1	Pick #8	7.39	2.04	s13	46	19	22	21	Four players
8	Player1	Player1	Pick #1	11.74	1.85	s8	8.5	1	2	16	Four players
8	Player2	Player2	Pick #2	12.13	0.54	s10	13.5	3	1	2	Four players
8	Player3	Player3	Pick #3	11.66	0.83	s16	17.5	4	4	6	Four players
8	Player4	Player4	Pick #4	11.35	1	s5	19	5	5	7	Four players
8	Player1	Player4	Pick #5	9.59	1.31	s22	24	8	8	9	Four players
8	Player2	Player3	Pick #6	10.37	0.56	s19	25	9	7	3	Four players
8	Player3	Player2	Pick #7	7.58	2.4	s14	35.5	15	17	22	Four players
8	Player4	Player1	Pick #8	7.37	1.53	s3	43.5	18	19	14	Four players
8	Player1	Player1	Pick #1	10.97	2.63	s2	7	1	3	23	Four players
8	Player2	Player2	Pick #2	12.96	2.02	s18	9	2	2	15	Four players
8	Player3	Player3	Pick #3	10.41	1.48	s8	15.5	5	4	10	Four players
8	Player4	Player4	Pick #4	9.3	2.53	s20	21.5	6	10	22	Four players
8	Player1	Player4	Pick #5	10.14	1.34	s10	22.25	7	6	6	Four players
8	Player2	Player3	Pick #6	9.14	1.51	s22	29	12	11	11	Four players
8	Player3	Player2	Pick #7	7.74	2.42	s12	32	14	15	21	Four players
8	Player4	Player1	Pick #8	7.7	1.95	s5	37.5	16	16	14	Four players
8	Player1	Player1	Pick #1	11.43	2.34	s8	9	1	4	23	Four players
8	Player2	Player2	Pick #2	11.52	2.11	s5	9	2	3	19	Four players
8	Player3	Player3	Pick #3	12.85	0.58	s19	13.5	3	1	2	Four players
8	Player4	Player4	Pick #4	10.19	1.44	s1	24	8	9	12	Four players
8	Player1	Player4	Pick #5	10.4	0.92	s12	25.5	9	8	6	Four players
8	Player2	Player3	Pick #6	9.27	1.61	s3	31.25	13	13	16	Four players
8	Player3	Player2	Pick #7	9.83	0.82	s15	32.5	14	11	4	Four players
8	Player4	Player1	Pick #8	8.59	1.24	s17	40.5	17	16	10	Four players
8	Player1	Player1	Pick #1	13.93	1.5	s23	9	1	1	11	Four players
8	Player2	Player2	Pick #2	12.93	1.85	s14	9	2	2	15	Four players
8	Player3	Player3	Pick #3	10.68	1.34	s1	22.5	7	7	8	Four players
8	Player4	Player4	Pick #4	9.68	1.49	s17	25.5	9	9	10	Four players
8	Player1	Player4	Pick #5	8.68	1.54	s20	28	10	11	13	Four players
8	Player2	Player3	Pick #6	8.28	0.9	s11	35.75	13	12	3	Four players
8	Player3	Player2	Pick #7	7.58	1.49	s4	40	16	16	9	Four players
8	Player4	Player1	Pick #8	6.18	2.05	s8	42.5	18	20	20	Four players
8	Player1	Player1	Pick #1	14.13	1.38	s9	8.5	1	2	16	Four players
8	Player2	Player2	Pick #2	11.71	1.83	s23	9	2	3	19	Four players
8	Player3	Player3	Pick #3	10.58	2.97	s11	18.5	5	9	24	Four players
8	Player4	Player4	Pick #4	11.58	0.79	s4	20	6	5	5	Four players
8	Player1	Player4	Pick #5	10.67	1.16	s1	21.5	8	8	14	Four players
8	Player2	Player3	Pick #6	10.05	1.01	s6	29.75	11	10	7	Four players
8	Player3	Player2	Pick #7	9.04	1.21	s20	35	14	15	15	Four players
8	Player4	Player1	Pick #8	7.52	2	s13	42	17	20	21	Four players
8	Player1	Player1	Pick #1	10.95	1.59	s16	10	1	2	15	Four players
8	Player2	Player2	Pick #2	12.52	1.04	s8	12	2	1	5	Four players
8	Player3	Player3	Pick #3	10.95	1.46	s14	13	3	2	9	Four players
8	Player4	Player4	Pick #4	10.71	1.53	s5	18	5	6	13	Four players
8	Player1	Player4	Pick #5	10.8	1.45	s21	18.5	6	5	8	Four players
8	Player2	Player3	Pick #6	9.82	1.7	s24	24	10	10	17	Four players
8	Player3	Player2	Pick #7	8.56	1.2	s2	37	16	14	7	Four players
8	Player4	Player1	Pick #8	6.47	2.73	s12	43	19	21	23	Four players
8	Player1	Player1	Pick #1	11.97	1.7	s17	9.25	1	1	12	Four players
8	Player2	Player2	Pick #2	11.73	1.71	s8	11.5	3	3	14	Four players
8	Player3	Player3	Pick #3	11.64	1.74	s20	13	4	4	15	Four players
8	Player4	Player4	Pick #4	11	1.65	s5	17	6	5	11	Four players
8	Player1	Player4	Pick #5	9.88	2.91	s10	24.5	9	12	24	Four players
8	Player2	Player3	Pick #6	10.21	1.14	s1	29.5	12	9	2	Four players
8	Player3	Player2	Pick #7	9.73	1.22	s15	36.5	14	13	4	Four players
8	Player4	Player1	Pick #8	6.76	1.86	s13	44.5	19	20	16	Four players
8	Player1	Player1	Pick #1	11.44	1.35	s8	11.5	1	3	14	Four players
8	Player2	Player2	Pick #2	12.09	0.69	s1	11.5	2	1	6	Four players
8	Player3	Player3	Pick #3	11.43	1.29	s23	14	3	4	13	Four players
8	Player4	Player4	Pick #4	11.7	0.57	s10	14.5	4	2	4	Four players
8	Player1	Player4	Pick #5	10.22	1.88	s5	15.5	5	6	18	Four players
8	Player2	Player3	Pick #6	9.57	1.17	s17	26.5	10	10	12	Four players
8	Player3	Player2	Pick #7	8.92	1.63	s15	36	15	16	17	Four players
8	Player4	Player1	Pick #8	9.09	0.59	s20	36	16	13	5	Four players
8	Player1	Player1	Pick #1	13.32	1.76	s23	11	1	4	19	Four players
8	Player2	Player2	Pick #2	13.71	0.86	s11	11.5	2	2	10	Four players
8	Player3	Player3	Pick #3	13.52	0.99	s9	13	4	3	11	Four players
8	Player4	Player4	Pick #4	11.23	2.08	s13	19.5	7	9	22	Four players
8	Player1	Player4	Pick #5	11.52	0.57	s7	26.25	10	7	2	Four players
8	Player2	Player3	Pick #6	9.83	1.09	s21	33.5	12	14	14	Four players
8	Player3	Player2	Pick #7	10.52	0.61	s18	34	13	12	5	Four players
8	Player4	Player1	Pick #8	8.73	2.45	s15	37	15	18	23	Four players
8	Player1	Player1	Pick #1	13.01	1.58	s1	11.25	1	3	14	Four players
8	Player2	Player2	Pick #2	13.56	0.51	s8	13	3	1	3	Four players
8	Player3	Player3	Pick #3	11.11	0.94	s10	20	5	6	9	Four players
8	Player4	Player4	Pick #4	11.64	0.54	s12	20	6	5	5	Four players
8	Player1	Player4	Pick #5	10.4	1.59	s22	20.5	7	8	16	Four players
8	Player2	Player3	Pick #6	11.01	0.98	s4	21.5	8	7	10	Four players
8	Player3	Player2	Pick #7	8.22	2.52	s6	33	14	16	23	Four players
8	Player4	Player1	Pick #8	8.03	1.43	s17	42	18	18	13	Four players
8	Player1	Player1	Pick #1	12.71	1.66	s6	5	1	1	19	Four players
8	Player2	Player2	Pick #2	11.57	1.29	s1	14.5	2	5	16	Four players
8	Player3	Player3	Pick #3	12.26	0.12	s10	16	3	2	1	Four players
8	Player4	Player4	Pick #4	11.95	0.28	s12	17	4	3	3	Four players
8	Player1	Player4	Pick #5	10.43	1.57	s17	23.5	10	10	18	Four players
8	Player2	Player3	Pick #6	9.43	1.01	s15	34.25	13	13	10	Four players
8	Player3	Player2	Pick #7	8.96	0.96	s20	40.5	16	15	7	Four players
8	Player4	Player1	Pick #8	8.96	0.96	s22	40.5	17	15	7	Four players
8	Player1	Player1	Pick #1	11.71	1.59	s23	9	1	2	15	Four players
8	Player2	Player2	Pick #2	10.71	1.7	s15	11.5	2	4	18	Four players
8	Player3	Player3	Pick #3	11.78	0.51	s10	13	4	1	3	Four players
8	Player4	Player4	Pick #4	10.56	0.96	s5	21.5	6	7	10	Four players
8	Player1	Player4	Pick #5	10.69	0.46	s8	21.5	7	5	2	Four players
8	Player2	Player3	Pick #6	9.66	0.92	s20	32	13	12	9	Four players
8	Player3	Player2	Pick #7	9.18	1.52	s2	40.5	18	17	12	Four players
8	Player4	Player1	Pick #8	7.86	2.67	s13	41	19	20	23	Four players
8	Player1	Player1	Pick #1	13.47	1.06	s4	10.5	1	1	8	Four players
8	Player2	Player2	Pick #2	11.14	1.75	s6	14	4	5	17	Four players
8	Player3	Player3	Pick #3	12.74	0.77	s14	16.5	5	3	4	Four players
8	Player4	Player4	Pick #4	11.08	1.53	s16	18	6	6	13	Four players
8	Player1	Player4	Pick #5	9.75	2.93	s20	20.5	8	10	24	Four players
8	Player2	Player3	Pick #6	9.7	1.13	s2	29.5	10	11	10	Four players
8	Player3	Player2	Pick #7	10.24	0.59	s8	29.5	11	9	2	Four players
8	Player4	Player1	Pick #8	9.48	0.85	s18	36	15	13	5	Four players
8	Player1	Player1	Pick #1	12.65	1.37	s10	11.75	1	2	11	Four players
8	Player2	Player2	Pick #2	12.96	0.64	s23	13.5	3	1	2	Four players
8	Player3	Player3	Pick #3	11.86	1.19	s8	17.5	5	4	6	Four players
8	Player4	Player4	Pick #4	11.13	1.38	s14	18	6	6	13	Four players
8	Player1	Player4	Pick #5	9.22	2.68	s16	18.5	7	9	24	Four players
8	Player2	Player3	Pick #6	9.73	1.72	s5	21	9	8	15	Four players
8	Player3	Player2	Pick #7	8.86	0.88	s20	35.75	15	12	3	Four players
8	Player4	Player1	Pick #8	8.34	1.22	s1	38.5	17	15	8	Four players
8	Player1	Player1	Pick #1	12.37	1.7	s11	8	1	1	13	Four players
8	Player2	Player2	Pick #2	11.82	1.6	s9	13.5	3	3	10	Four players
8	Player3	Player3	Pick #3	10.16	1.87	s7	16	4	6	17	Four players
8	Player4	Player4	Pick #4	11.37	1.4	s2	16.5	6	4	8	Four players
8	Player1	Player4	Pick #5	8.04	2.69	s21	31	11	15	23	Four players
8	Player2	Player3	Pick #6	9.53	0.72	s13	33	12	11	3	Four players
8	Player3	Player2	Pick #7	7.6	2.23	s23	33.5	13	16	22	Four players
8	Player4	Player1	Pick #8	8.55	0.24	s4	38	16	13	1	Four players
8	Player1	Player1	Pick #1	13.08	1.36	s12	8	1	1	13	Four players
8	Player2	Player2	Pick #2	12.76	2.04	s7	8.5	2	3	20	Four players
8	Player3	Player3	Pick #3	12.41	1.58	s24	11.5	5	4	18	Four players
8	Player4	Player4	Pick #4	10.08	0.99	s17	27.5	9	10	10	Four players
8	Player1	Player4	Pick #5	10.94	0.25	s10	27.5	10	8	2	Four players
8	Player2	Player3	Pick #6	9.35	2.45	s14	29	11	14	23	Four players
8	Player3	Player2	Pick #7	9.07	3.3	s5	30.5	12	15	24	Four players
8	Player4	Player1	Pick #8	9.7	0.5	s22	34.5	14	12	4	Four players
8	Player1	Player1	Pick #1	11.67	1.36	s18	9.5	1	2	14	Four players
8	Player2	Player2	Pick #2	11.54	1.32	s4	13.5	2	3	12	Four players
8	Player3	Player3	Pick #3	10.66	2.3	s11	14	5	6	23	Four players
8	Player4	Player4	Pick #4	11.54	0.78	s2	17	7	3	5	Four players
8	Player1	Player4	Pick #5	8.89	1.48	s8	27	9	11	15	Four players
8	Player2	Player3	Pick #6	8.86	1.56	s20	28.5	11	12	16	Four players
8	Player3	Player2	Pick #7	8.73	0.59	s6	37.5	14	13	2	Four players
8	Player4	Player1	Pick #8	6.22	1.98	s14	40	15	19	21	Four players
8	Player1	Player1	Pick #1	10.1	2.96	s10	6.5	1	3	24	Four players
8	Player2	Player2	Pick #2	10.24	1.52	s7	9.5	2	2	14	Four players
